Team,Playoff%,Round 2%,Conf Final%,Cup Final%,Win Cup%
Boston Bruins,54.82%,25.24%,11.56%,5.23%,2.42%
Buffalo Sabres,8.23%,2.77%,0.95%,0.34%,0.10%
Detroit Red Wings,10.22%,3.65%,1.30%,0.48%,0.17%
Florida Panthers,97.07%,56.81%,31.16%,17.20%,9.23%
Montreal Canadiens,1.32%,0.30%,0.07%,0.01%,0.00%
Ottawa Senators,46.88%,21.72%,10.11%,4.55%,2.04%
Tampa Bay Lightning,68.12%,33.64%,16.01%,7.61%,3.57%
Toronto Maple Leafs,92.93%,46.20%,21.72%,10.02%,4.54%
Carolina Hurricanes,94.94%,56.66%,32.95%,19.37%,10.79%
Columbus Blue Jackets,1.33%,0.24%,0.04%,0.01%,0.00%
Philadelphia Flyers,18.40%,6.00%,2.04%,0.70%,0.27%
Pittsburgh Penguins,2.96%,0.78%,0.21%,0.05%,0.01%
New Jersey Devils,92.08%,45.02%,22.75%,11.14%,5.49%
New York Islanders,35.38%,15.58%,7.16%,3.17%,1.41%
New York Rangers,77.90%,39.48%,20.68%,10.50%,5.30%
Washington Capitals,97.42%,45.91%,21.28%,9.61%,4.39%
Utah Hockey Club,28.29%,10.57%,4.13%,1.58%,0.61%
Chicago Blackhawks,0.76%,0.19%,0.07%,0.02%,0.00%
Colorado Avalanche,67.94%,30.86%,14.65%,6.76%,3.09%
Dallas Stars,89.92%,46.15%,23.74%,12.07%,6.06%
Minnesota Wild,98.84%,56.88%,30.93%,16.63%,8.87%
Nashville Predators,4.94%,2.06%,0.93%,0.40%,0.18%
St. Louis Blues,16.98%,5.54%,1.92%,0.64%,0.21%
Winnipeg Jets,95.61%,50.46%,25.69%,12.92%,6.44%
Anaheim Ducks,0.51%,0.12%,0.03%,0.00%,0.00%
Calgary Flames,29.69%,10.22%,3.51%,1.17%,0.38%
Edmonton Oilers,86.51%,45.38%,23.08%,11.54%,5.73%
Los Angeles Kings,92.23%,50.00%,25.87%,13.08%,6.64%
San Jose Sharks,0.14%,0.03%,0.01%,0.00%,0.00%
Seattle Kraken,14.41%,5.09%,1.83%,0.70%,0.26%
Vancouver Canucks,92.46%,55.68%,31.53%,17.99%,10.02%
Vegas Golden Knights,80.76%,30.80%,12.07%,4.50%,1.75%
